clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
Chesterfield F.C.,United Kingdom,EFL League One,Proact Stadium,Point(-1.427203 53.253442),http://www.chesterfield-fc.co.uk
Dagenham & Redbridge F.C.,United Kingdom,National League,Victoria Road,Point(0.159867 51.5478),https://www.daggers.co.uk/
Exeter City F.C.,United Kingdom,EFL League Two,St James Park,Point(-3.52115 50.730713888),https://www.exetercityfc.co.uk/
Fleetwood Town F.C.,United Kingdom,EFL League One,Highbury Stadium,Point(-3.024728 53.916508),https://www.fleetwoodtownfc.com/
Gillingham F.C.,United Kingdom,EFL League One,Priestfield Stadium,Point(0.560833333 51.384166666),https://www.gillinghamfootballclub.com/
Morecambe F.C.,United Kingdom,EFL League Two,Globe Arena,Point(-2.86716 54.0615),https://www.morecambefc.com/
Northampton Town F.C.,United Kingdom,EFL League One,Sixfields Stadium,Point(-0.93345 52.235197),https://www.ntfc.co.uk/
Oxford United F.C.,United Kingdom,EFL League One,Kassam Stadium,Point(-1.208067 51.716419),https://www.oufc.co.uk/
Plymouth Argyle F.C.,United Kingdom,EFL League One,Home Park,Point(-4.150833333 50.388055555),https://www.pafc.co.uk/
Port Vale F.C.,United Kingdom,EFL League One,Vale Park,Point(-2.1925 53.049722),https://www.port-vale.co.uk/
Rochdale A.F.C.,United Kingdom,EFL League One,Spotland Stadium,Point(-2.18 53.620833),https://www.rochdaleafc.co.uk/
Rotherham United F.C.,United Kingdom,EFL League One,New York Stadium,Point(-1.362 53.4279),https://www.themillers.co.uk/
Southend United F.C.,United Kingdom,EFL League One,Roots Hall,Point(0.701556 51.549),https://www.southendunited.co.uk/
Accra Hearts of Oak SC,Ghana,Ghana Premier League,Accra Sports Stadium,Point(-0.191944444 5.551388888),http://www.heartsofoaksc.com/
Hacettepe S.K.,Turkey,TFF Third League,Ankara 19 Mayıs Stadium,Point(32.845681 39.940094),http://hacettepespor.org/
Đồng Tâm Long An F.C.,Vietnam,V.League 1,Long An Stadium,Point(106.408333 10.536111),http://www.dongtamlongan.com/
Ħamrun Spartans F.C.,Malta,Maltese Premier League,Victor Tedesco Stadium,Point(14.4925 35.8873),http://www.hamrunspartans.com/
İskenderun Demir Çelikspor,Turkey,TFF Second League,İskenderun 5 Temmuz Stadium,Point(36.1553 36.5851),http://www.idcspor.com
İstanbulspor A.Ş.,Turkey,Turkish Süper Lig,Bahçelievler Stadium,Point(28.83211944 40.99656667),http://istanbulspor.com.tr/
ŁKS Łódź,Poland,Ekstraklasa,Stadion ŁKS,Point(19.4275 51.7576),https://lkslodz.pl/
FC Luch-Energiya Vladivostok,Russia,Russian Amateur Football League Competition,Dynamo Stadium,Point(131.8788 43.1192),http://www.luch-vlad.ru
Balzan F.C.,Malta,Maltese Premier League,Ta' Qali National Stadium,Point(14.415372222 35.894863888),https://balzanfc1937.com/
Adana Demirspor,Turkey,Turkish Süper Lig,Adana 5 Ocak Stadium,Point(35.3297 36.999),http://www.adanademirspor.org.tr/
Adanaspor,Turkey,TFF First League,Adana 5 Ocak Stadium,Point(35.3297 36.999),https://www.adanaspor.com.tr/
Adelaide City Football Club,Australia,FFSA Super League,Adelaide City Park,Point(138.636493 -34.851743),https://www.adelaidecityfc.com.au/
Adelaide United Football Club,Australia,A-League Men,Hindmarsh Stadium,Point(138.568889 -34.9075),https://adelaideunited.com.au/
Cercle Brugge K.S.V.,Belgium,Belgian First Division A,Jan Breydel Stadium,Point(3.181311 51.193269),https://www.cerclebrugge.be/
Aris Limassol F.C.,Cyprus,Cypriot First Division,Tsirio Stadium,Point(33.022975 34.700914),https://arisfc.com/
Kotkan Työväen Palloilijat,Finland,Ykkönen,Arto Tolsa Areena,Point(26.939722 60.4575),http://www.fcktp.fi/
Bath City F.C.,United Kingdom,National League South,Twerton Park,Point(-2.3951 51.3787),https://www.bathcityfc.com/
FC Locarno,Switzerland,Swiss Challenge League,Stadio del Lido,Point(8.801544 46.162687),http://www.fclocarno.ch
NK Slaven Belupo,Croatia,Prva HNL,Gradski stadion,Point(16.834722 46.166111),https://nk-slaven-belupo.hr/
