clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
FK Budućnost Banovići,Bosnia and Herzegovina,First League of the Federation of Bosnia and Herzegovina,Stadion FK Budućnost,Point(18.5352 44.4139),http://www.buducnost.net/
FK Dainava Alytus,Lithuania,A Lyga,Alytus Stadium,Point(24.05472222 54.39194444),http://dfkdainava.com/
FK Donji Srem,Serbia,Serbian SuperLiga,Suvača Sportcenter,Point(19.9743 44.9085),http://fkdonjisrem.com/
FC Fakel Voronezh,Russia,Russian Premier League,Tsentralnyi Profsoyuz Stadion,Point(39.204167 51.672778),http://www.fakelfc.ru/
FC Etar 1924 Veliko Tarnovo,Bulgaria,First Professional Football League,Ivaylo Stadium,Point(25.620556 43.077222),http://etar1924.com
FC Lviv,Ukraine,Premier League,Ukraina Stadium,Point(24.048193 49.819234),http://pfclviv.com/
Mash'al Mubarek,Uzbekistan,Uzbekistan Super League,Bahrom Vafoev Stadium,Point(69.27883 40.213563),http://www.fcmashal.uz/
FK Púchov,Slovakia,2. Liga,Mestský štadión (Púchov),Point(18.32 49.1175),http://www.fkmatadorpuchov.sk/
FK Rudar Prijedor,Bosnia and Herzegovina,First League of the Republika Srpska,Gradski stadion,Point(16.308147 44.955062),http://www.rudarprijedor.com/
FC Salyut Belgorod,Russia,Russian Second League,Salyut Stadium,Point(36.579206 50.602689),https://fcsalyut31.ru/
FC Slavoj Vyšehrad,Czech Republic,Czech Fourth Division,Stadion FK Slavoj Vyšehrad,Point(14.4254472 50.0598269),http://www.slavojvysehrad.cz
FK Slovan Duslo Šaľa,Slovakia,2. Liga,Šaľa Stadium,Point(17.88095278 48.16459722),http://www.fkduslosala.sk
FC Tyumen,Soviet Union,Russian Second League,Geolog Stadium,Point(65.5139 57.1617),http://www.fc-tyumen.ru/
FC Tyumen,Soviet Union,1992 Russian Top League,Geolog Stadium,Point(65.5139 57.1617),http://www.fc-tyumen.ru/
FC Chita,Russia,Russian Second League,Lokomotiv Stadium,Point(113.4728 52.04059),http://www.fc-chita.com/
FK Tønsberg,Norway,Norwegian Second Division,Tønsberg Gressbane,Point(10.4164 59.2839),http://www.fktonsberg.no/
FK Voždovac,Serbia,Serbian SuperLiga,Voždovac Stadium,Point(20.4902 44.7749),https://fkvozdovac.rs/
FK Šilutė,Lithuania,First League,Šilutė Stadium,Point(21.4831 55.3367),http://www.fksilute.lt/
FUS de Rabat,Morocco,Botola,Stade de FUS,Point(-6.84028 34.0099),https://fus.ma/
FUS de Rabat,Morocco,Botola,Stade Moulay Hassan,Point(-6.824167 33.975719),https://fus.ma/
Spartak Myjava,Slovakia,Slovak First Football League,Stadium Myjava,Point(17.5656 48.76118),https://www.spartakmyjava.sk/
FK Turnovo,North Macedonia,First Macedonian Football League,Stadion Kukuš,Point(22.7689 41.4375),http://fkhorizont-turnovo.com/index.php
Nacional Esporte Clube,Brazil,Campeonato Mineiro,Arena do Jacaré,Point(-44.222022 -19.478794),http://www.nacionalesporte.com.br
Orlando City SC,United States of America,USL Championship,Camping World Stadium,Point(-81.402777777 28.539166666),http://www.orlandocitysoccer.com
Orlando City SC,United States of America,USL Championship,ESPN Wide World of Sports Complex,Point(-81.556 28.33708333),http://www.orlandocitysoccer.com
Falkenbergs FF,Sweden,Superettan,Falcon Alkoholfri Arena,Point(12.511555555 56.893972222),https://falkenbergsff.se/
Terengganu F.C.,Malaysia,Malaysia Super League,Sultan Ismail Nasiruddin Shah Stadium,Point(103.106388888 5.372777777),http://terengganufa.my/
FC Cetatea Suceava,Romania,Liga III,Stadionul Areni,Point(27.94715 45.258058),http://www.cetateasuceava.ro/
FC Rotor Volgograd,Russia,Russian First League,Volgograd Arena,Point(44.5481 48.7346),https://rotor-vlg.com/
Ehime FC,Japan,J2 League,Ningineer Stadium,Point(132.797594 33.768178),http://www.ehimefc.com/pc/
Dumbarton F.C.,United Kingdom,Scottish Football League,Dumbarton Football Stadium,Point(-4.56144 55.9384),https://dumbartonfootballclub.com/
Dumbarton F.C.,United Kingdom,Scottish Championship,Dumbarton Football Stadium,Point(-4.56144 55.9384),https://dumbartonfootballclub.com/
Dumbarton F.C.,United Kingdom,Scottish Football League,Boghead Park,Point(-4.55129722 55.94784167),https://dumbartonfootballclub.com/
Dumbarton F.C.,United Kingdom,Scottish Championship,Boghead Park,Point(-4.55129722 55.94784167),https://dumbartonfootballclub.com/
Clyde F.C.,United Kingdom,Scottish Football League Third Division,Broadwood Stadium,Point(-4.03709 55.9448),https://www.clydefc.co.uk/
Clyde F.C.,United Kingdom,Scottish Football League,Broadwood Stadium,Point(-4.03709 55.9448),https://www.clydefc.co.uk/
Clyde F.C.,United Kingdom,Scottish Football League Third Division,Shawfield Stadium,Point(-4.22888889 55.83833333),https://www.clydefc.co.uk/
Clyde F.C.,United Kingdom,Scottish Football League,Shawfield Stadium,Point(-4.22888889 55.83833333),https://www.clydefc.co.uk/
Clyde F.C.,United Kingdom,Scottish Football League Third Division,Barrowfield Park,Point(-4.2216 55.8402),https://www.clydefc.co.uk/
Clyde F.C.,United Kingdom,Scottish Football League,Barrowfield Park,Point(-4.2216 55.8402),https://www.clydefc.co.uk/
East Fife F.C.,United Kingdom,Scottish Football League Second Division,Bayview Stadium,Point(-2.99902 56.1887),https://eastfifefc.info/
East Fife F.C.,United Kingdom,Central Football Combination,Bayview Stadium,Point(-2.99902 56.1887),https://eastfifefc.info/
East Fife F.C.,United Kingdom,Eastern Football League,Bayview Stadium,Point(-2.99902 56.1887),https://eastfifefc.info/
Mito HollyHock,Japan,J2 League,K's denki Stadium Mito,Point(140.412222 36.345278),https://www.mito-hollyhock.net/
Dalian Shide F.C.,People's Republic of China,Chinese Super League,Jinzhou Stadium,Point(121.7191 39.0953),http://www.shidefc.com/
FC Emmen,Netherlands,Eredivisie,JenS Vesting,Point(6.945556 52.774722),https://fcemmen.nl/
Ventforet Kofu,Japan,J2 League,JIT Recycle Ink Stadium,Point(138.589756 35.622376),http://www.ventforet.jp/
Yokohama FC,Japan,J2 League,Nippatsu Mitsuzawa Stadium,Point(139.603611111 35.469166666),https://www.yokohamafc.com/
Szolnoki MÁV FC,Hungary,Nemzeti Bajnokság II,Tiszaligeti Stadion,Point(20.199722 47.168056),https://szolnokimavfc.hu/
Skála ÍF,Faroe Islands,Faroe Islands Premier League,Skála Stadium,Point(-6.78861111 62.16),https://www.skalaif.fo/
F.C. Verbroedering Dender Eendracht Hekelgem,Belgium,Belgian National Division 1,Florent Beeckmanstadion,Point(4.070833 50.883889),http://www.fcvdendereh.be/
Charleston Battery,United States of America,USL Championship,Blackbaud Stadium,Point(-79.919766666 32.870888888),https://www.charlestonbattery.com/
Charlotte Eagles,United States of America,USL League Two,Sportsplex at Matthews,Point(-80.6992 35.1106),http://www.charlotteeagles.com/
UD Logroñés,Spain,Primera Federación,Estadio Las Gaunas,Point(-2.453333 42.453333),http://udlogrones.com/
Real Sociedad B,Spain,Segunda División,Zubieta Facilities,Point(-2.02382 43.2589),https://www.realsociedad.eus/es/equipo/sanse
Thespakusatsu Gunma,Japan,J2 League,Shoda Shoyu Stadium Gunma,Point(139.053258 36.411613),http://www.thespa.co.jp/
Tochigi SC,Japan,J2 League,Tochigi Green Stadium,Point(139.986667 36.556667),https://www.tochigisc.jp/
Chengdu Tiancheng F.C.,People's Republic of China,China League One,Chengdu Sports Centre,Point(104.06472222 30.66555556),http://en.sufc.com.cn
Chester City F.C.,United Kingdom,National League,Deva Stadium,Point(-2.923814 53.189181),http://chester-city.co.uk/
FC Samtredia,Georgia,Erovnuli Liga 2,Erosi Manjgaladze Stadium,Point(42.33064 42.16084),http://fcsamtredia.com/
SC Telstar,Netherlands,Eerste Divisie,BUKO Stadion,Point(4.635 52.455),https://sctelstar.nl/
Chicago Red Stars,United States of America,National Women's Soccer League,SeatGeek Stadium,Point(-87.806111111 41.764722222),https://www.chicagoredstars.com/
Chongqing Liangjiang Athletic F.C.,People's Republic of China,China League One,Fuling Stadium,Point(107.387012 29.701548),http://www.dangdailifanfc.cn/
Chongqing Liangjiang Athletic F.C.,People's Republic of China,China League One,Fuling Stadium,Point(107.387012 29.701548),http://www.lifanfc.com/
FC Matera,Italy,Serie D,Stadio XXI Settembre-Franco Salerno,Point(16.6036 40.6736),https://www.fcmatera.it/
FC Lootus Kohtla-Järve,Estonia,Esiliiga,Kohtla-Järve Spordikeskuse staadion,Point(27.258936 59.397786),http://www.fclootus.ee/
Institute F.C.,United Kingdom,NIFL Championship,YMCA Grounds,Point(-7.278392 54.976122),http://www.stutefc.co.uk
AS Nika,Democratic Republic of the Congo,Linafoot,Stade Lumumba,Point(25.186576 0.521216),http://www.asnika.com
Churchill Brothers S.C.,India,Goa Professional League,Fatorda Stadium,Point(73.9625 15.28972222),http://www.churchillbrothersgoa.com
Churchill Brothers S.C.,India,I-League,Fatorda Stadium,Point(73.9625 15.28972222),http://www.churchillbrothersgoa.com
Stranraer F.C.,United Kingdom,Scottish Football League Second Division,Stair Park,Point(-5.01248 54.9021),https://stranraerfc.org/
Citizen AA,People's Republic of China,Hong Kong First Division League,Mong Kok Stadium,Point(114.173 22.3261),https://www.facebook.com/%E5%85%AC%E6%B0%91%E8%B6%B3%E7%90%83%E9%9A%8A-Citizen-Football-Club-108704849179569/
Citizen AA,People's Republic of China,Hong Kong First Division,Mong Kok Stadium,Point(114.173 22.3261),https://www.facebook.com/%E5%85%AC%E6%B0%91%E8%B6%B3%E7%90%83%E9%9A%8A-Citizen-Football-Club-108704849179569/
FC Vostok,Kazakhstan,Kazakhstan First League,Vostok Stadium,Point(82.586921 49.969924),http://www.fc-vostok.ucoz.kz/
A.S.D. Manfredonia Calcio 1932,Italy,Serie D,Stadio Miramare,Point(15.918889 41.628056),http://www.manfredoniacalcio.net
Coruxo FC,Spain,Segunda División B,Campo do Vao,Point(-8.79194 42.1961),http://www.coruxofc.com
Navbahor Namangan,Uzbekistan,Uzbekistan Super League,Markaziy Stadium,Point(71.593834 40.999618),https://www.pfcnavbahor.uz/
Sogdiana Jizzakh,Uzbekistan,Uzbekistan Pro League,Markaziy Stadium,Point(67.82897222 40.11402778),http://www.fcsogdiana.uz
Club Almirante Brown,Argentina,Primera Nacional,Estadio Fragata Presidente Sarmiento,Point(-58.586814 -34.694981),http://www.almirantebrown.org.ar/
Club Almagro,Argentina,Primera Nacional,Estadio Almagro,Point(-58.535 -34.614167),http://almagro.club/
Club Always Ready,Bolivia,Primera División de Bolivia,Estadio Hernando Siles,Point(-68.122778 -16.499444),http://www.alwaysready.bo/
Club General Díaz,Paraguay,Paraguayan Primera División,Q5685464,Point(-57.518724 -25.263291),http://www.generaldiaz.com
CS Hammam-Lif,Tunisia,Tunisian Ligue Professionnelle 1,Stade Bou Kornine,Point(10.3462 36.7273),https://cshlif.com/
San Luis F.C.,Mexico,Liga MX,Estadio Alfonso Lastras,Point(-100.950864 22.138706),http://www.sanluisfutbol.com.mx/
Club Tijuana,Mexico,Liga MX,Caliente Stadium,Point(-116.993092 32.506067),https://xolos.com.mx/
Everton de Viña del Mar,Chile,Chilean Primera División,Estadio Sausalito,Point(-71.535 -33.014444444),http://www.everton.cl
Coleraine F.C.,United Kingdom,NIFL Premiership,The Showgrounds,Point(-6.660278 55.132778),https://colerainefc.com/
FC Prishtina,Serbia,Football Superleague of Kosovo,Fadil Vokrri Stadium,Point(21.15688 42.66297),http://www.prishtinafc.com/fcp/site/index.php
Ranheim Fotball,Norway,1. divisjon football (men),EXTRA Arena,Point(10.52401 63.428376),https://www.ranheimfotball.no/
Songkhla F.C.,Thailand,Thai League 2,Tinsulanonda Stadium,Point(100.598611 7.207222),http://www.songkhlafc.com
Xuan Thanh Sai Gon F.C.,Vietnam,V.League 1,Thong Nhat Stadium,Point(106.663331 10.760703),http://xuanthanh.com.vn/vn/Bong-da-lv86
Como 1907,Italy,Serie B,Stadio Giuseppe Sinigaglia,Point(9.07222222 45.81388889),https://comofootball.com/
Como 1907,Italy,Serie B,Stadio Giuseppe Sinigaglia,Point(9.072363 45.813782),https://comofootball.com/
PFC Lokomotiv Plovdiv,Bulgaria,First Professional Football League,Lokomotiv Stadium,Point(24.771667 42.133889),https://lokomotivpd.com/
Elazığspor,Turkey,Turkish Süper Lig,Elazığ Atatürk Stadium,Point(39.197778 38.671111),http://www.elazigspor.org.tr
Leeds United F.C.,United Kingdom,EFL Championship,Elland Road,Point(-1.572222222 53.777777777),https://www.leedsunited.com/
Unión Española,Chile,Chilean Primera División,Estadio Santa Laura-Universidad SEK,Point(-70.659017 -33.404553),http://www.unionespanola.cl/
FK Shkëndija,North Macedonia,First Macedonian Football League,Gradski stadion Tetovo,Point(20.978179 42.018692),https://www.kfshkendija.com/
KF Apolonia Fier,Albania,Albanian First Division,Loni Papuçiu Stadium,Point(19.55223889 40.72083056),http://www.kfapoloniafier.wordpress.com
Caracas Fútbol Club,Venezuela,Venezuelan Primera División,Estadio Olímpico,Point(-66.885492 10.491278),https://www.caracasfutbolclub.com/
Glenavon F.C.,United Kingdom,NIFL Premiership,Mourneview Park,Point(-6.336389 54.453889),http://glenavonfc.com
Hapoel Petah Tikva F.C.,Israel,Liga Leumit,HaMoshava Stadium,Point(34.865078 32.104197),http://www.hapoelpt.com
Liverpool F.C.,United Kingdom,Premier League,Anfield,Point(-2.960833333 53.430833333),https://www.liverpoolfc.com
FC Jiul Petroșani,Romania,Liga III,Stadionul Jiul,Point(23.3675 45.408333),http://www.jiulpetrosani.ro/
Kazma Sporting Club,Kuwait,Kuwaiti Premier League,Al-Sadaqua Walsalam Stadium,Point(47.987691666 29.329002777),http://www.kazmasc.com/
Sociedade Esportiva e Recreativa Caxias do Sul,Brazil,Campeonato Brasileiro Série C,Estádio Centenário,Point(-51.196667 -29.165),http://www.sercaxias.com.br
Juventude Sport Clube,Portugal,Divisão de Elite,Sanches de Miranda Stadium,Point(-7.913888888 38.561944444),https://juventudesportclube.blogspot.com/
Juventude Sport Clube,Portugal,Campeonato de Portugal,Sanches de Miranda Stadium,Point(-7.913888888 38.561944444),https://juventudesportclube.blogspot.com/
Unión Lara,Venezuela,Venezuelan Primera División,Estadio Farid Richa,Point(-69.329167 10.080278),http://www.unionlarafc.net/
KF Drita,Kosovo,Football Superleague of Kosovo,City Stadium,Point(21.464444 42.466667),http://dritafc.com
KF Vushtrria,Kosovo,First League,Vushtrri City Stadium,Point(20.974728 42.818631),http://llamkosfc.com
KF Llapi,Kosovo,Football Superleague of Kosovo,City Stadium,Point(21.19472222 42.905),http://llapifc.com/wp/
KSZO Ostrowiec Świętokrzyski,Poland,I liga,"Miejski Stadion Sportowy ""KSZO""",Point(21.379444 50.924444),http://www.kszo.ostrowiec.pl/
Kedah Darul Aman F.C.,Malaysia,Copa Libertadores,Darul Aman Stadium,Point(100.371763888 6.136022222),http://kedahfa.my
Karlstad BK,Sweden,Swedish Football Division 2,Tingvalla IP,Point(13.4935 59.386694),http://www.karlstadbollklubb.se/
Kaspii Aqtau,Kazakhstan,Kazakhstan Premier League,Zhastar Stadium,Point(51.147333 43.664659),https://fccaspy.kz/
Kelantan F.C.,Malaysia,Malaysia Super League,Sultan Mohammad IV Stadium,Point(102.243561111 6.123838888),http://www.kelantanfa.com/
Kiruna FF,Sweden,Swedish Football Division 3,Lombia IP,Point(20.247222222 67.840555555),http://www.kirunaff.nu/
Oswestry Town F.C.,United Kingdom,Welsh Premier League,Park Hall,Point(-3.02631 52.8759),http://www.tnsfc.co.uk/
US Rumelange,Luxembourg,Luxembourg National Division,"Stade Municipal, Rumelange",Point(6.033197222 49.457347222),http://www.usrumelange.lu/
R.A.A. Louviéroise,Belgium,Belgian Third Division,Stade du Tivoli,Point(4.20103 50.4783),http://www.raal.be/
S.R. Colmar,France,Championnat National,Colmar Stadium,Point(7.37921 48.08713),http://www.srcolmar.fr/
Santa Tecla F.C.,El Salvador,Primera División de El Salvador,Estadio Las Delicias,Point(-89.299444 13.671667),http://santateclafc.com.sv/
Football Club Victoria Rosport,Luxembourg,Luxembourg National Division,VictoriArena,Point(6.50567 49.8085),https://racing-fc.lu/
SO Romorantin,France,Championnat National 2,Stade Jules Ladoumègue,Point(1.74035 47.37031),http://www.soromorantin.com/
Olympique Alès,France,Championnat National 3,Stade Pierre Pibarot,Point(4.09184 44.11878),http://olympique-ales-cevennes.fr/
Tishreen SC,Syria,Syrian Premier League,Al-Assad Stadium,Point(35.785335 35.52766),http://www.tishreenclub.net
C.F. União,Portugal,LigaPro,Campo do Adelino Rodrigues,Point(-16.900361111 32.649333333),http://www.uniaodamadeira.com/
NK Junak Sinj,Croatia,Q16112816,Gradski stadion,Point(16.653889 43.702778),http://www.nkjunak.hr
Maidstone United F.C.,United Kingdom,Isthmian League,Gallagher Stadium,Point(0.515833 51.28),http://www.maidstoneunited.co.uk/
Jong Ajax,Netherlands,Eerste Divisie,Sportpark De Toekomst,Point(4.928914 52.313522),http://www.ajax.nl/teams/jong-ajax.htm
Club Atlético Platense,Uruguay,Segunda División Profesional,Estadio Obdulio Varela,Point(-56.12243889 -34.85823889),http://elascenso.com/
América Futebol Clube,Brazil,Campeonato Mineiro,Q10277357,Point(-41.50241944 -17.856125),http://www.america-to.com.br/
Cefn Druids A.F.C.,United Kingdom,Cymru North,The Rock,Point(-3.069646 52.977212),https://www.cefndruidsafc.com/
Skövde AIK,Sweden,Swedish Football Division 2,Södermalms IP,Point(13.8406 58.3789),http://www.sportportalen.com/saik/
Kolding IF,Denmark,Denmark Series,Kolding Stadion,Point(9.459167 55.494167),http://www.kif-fodbold.dk/
São Carlos F.C.,Brazil,Campeonato Paulista de Futebol,Estádio Luís Augusto de Oliveira,Point(-47.901764 -22.031517),http://www.saocarlosfc.com.br/
UD Lanzarote,Spain,Tercera División,Ciudad Deportiva de Lanzarote,Point(-13.554307 28.966697),http://www.udlanzarote.es/
Richmond Kickers,United States of America,USL League One,City Stadium,Point(-77.4868 37.5497),https://www.richmondkickers.com/
S.S. Sambenedettese Calcio,Italy,Serie D,Stadio Riviera delle Palme,Point(13.884722 42.930556),http://www.sambenedettesecalcio.it/
Villemomble Sports,France,Championnat National 2,Stade Georges Pompidou,Point(4.919267 44.94561),http://www.vsfoot.com/
Stade Malien,Mali,Malian Première Division,Stade du 26 Mars,Point(-7.921667 12.604444),http://www.stademaliendebamako.com/
MKE Kırıkkalespor,Turkey,Turkish Regional Amateur League,Fikret Karabudak Stadium,Point(33.5037 39.8358),http://www.kirikkalespor.org.tr/
Wallidan F.C.,The Gambia,GFA League First Division,Independence Stadium,Point(-16.6775 13.46861111),http://www.wallidanfc.com
Kuala Muda Naza FC,Malaysia,Malaysia Super League,Darul Aman Stadium,Point(100.371763888 6.136022222),http://www.nazafc.com.my
Larvik Turn & IF,Norway,Norwegian Third Division,Lovisenlund,Point(10.0289 59.0605),http://www.larvikturn.no/
Phnom Penh Crown F.C.,Cambodia,Cambodian Premier League,Olympic Stadium,Point(104.912083 11.558361),http://www.ppcfc.com
Oxford University A.F.C.,United Kingdom,BUSA Football League,Roger Bannister running track,Point(-1.2431 51.7459),https://www.ouafc.club/
Lautoka F.C.,Fiji,Fiji Premier League,Churchill Park,Point(177.45222222 -17.60666667),http://www.lautokafootball.com
SK Benešov,Czech Republic,Bohemian Football League,Městský stadion,Point(14.677938 49.776629),http://www.skbenesov.cz
Pattaya United F.C.,Thailand,Thai League 1,Nongprue Stadium,Point(100.937163 12.924339),http://www.ptyutd.com
